unique_id,ds,y,holiday,shops_closed,winter_school_holidays,school_holidays,year,month,day,day_of_week,week_of_year,shops_closed_lag,Shop_opened_after_close
Brno_1,12/6/2020,5338,0,0,0,0,2020,12,6,6,49,0,0
Brno_1,12/7/2020,5621,0,0,0,0,2020,12,7,0,50,0,0
Brno_1,12/8/2020,5792,0,0,0,0,2020,12,8,1,50,0,0
Brno_1,12/9/2020,5894,0,0,0,0,2020,12,9,2,50,0,0
Brno_1,12/10/2020,6122,0,0,0,0,2020,12,10,3,50,0,0
Brno_1,12/11/2020,6821,0,0,0,0,2020,12,11,4,50,0,0
Brno_1,12/12/2020,6727,0,0,0,0,2020,12,12,5,50,0,0
Brno_1,12/13/2020,5997,0,0,0,0,2020,12,13,6,50,0,0
Brno_1,12/14/2020,5965,0,0,0,0,2020,12,14,0,51,0,0
Brno_1,12/15/2020,6249,0,0,0,0,2020,12,15,1,51,0,0
Brno_1,12/16/2020,6267,0,0,0,0,2020,12,16,2,51,0,0
Brno_1,12/17/2020,6249,0,0,0,0,2020,12,17,3,51,0,0
Brno_1,12/18/2020,7149,0,0,0,0,2020,12,18,4,51,0,0
Brno_1,12/19/2020,6905,0,0,0,0,2020,12,19,5,51,0,0
Brno_1,12/20/2020,6607,0,0,0,0,2020,12,20,6,51,0,0
Brno_1,12/21/2020,7047,0,0,0,0,2020,12,21,0,52,0,0
Brno_1,12/22/2020,7492,0,0,0,0,2020,12,22,1,52,0,0
Brno_1,12/23/2020,7551,0,0,0,0,2020,12,23,2,52,0,0
Brno_1,12/24/2020,4576,1,0,0,0,2020,12,24,3,52,0,0
Brno_1,12/25/2020,0,1,0,0,0,2020,12,25,4,52,0,0
Brno_1,12/26/2020,6621,1,1,0,0,2020,12,26,5,52,0,0
Brno_1,12/27/2020,5917,0,0,0,0,2020,12,27,6,52,1,1
Brno_1,12/28/2020,6254,0,0,0,0,2020,12,28,0,53,0,0
Brno_1,12/29/2020,6380,0,0,0,0,2020,12,29,1,53,0,0
Brno_1,12/30/2020,6817,0,0,0,0,2020,12,30,2,53,0,0
Brno_1,12/31/2020,5915,0,0,0,0,2020,12,31,3,53,0,0
Brno_1,1/1/2021,4203,1,1,0,0,2021,1,1,4,53,0,0
Brno_1,1/2/2021,6277,0,0,0,0,2021,1,2,5,53,1,1
Brno_1,1/3/2021,6095,0,0,0,0,2021,1,3,6,53,0,0
Brno_1,1/4/2021,6592,0,0,0,0,2021,1,4,0,1,0,0
Brno_1,1/5/2021,6515,0,0,0,0,2021,1,5,1,1,0,0
Brno_1,1/6/2021,6615,0,0,0,0,2021,1,6,2,1,0,0
Brno_1,1/7/2021,6643,0,0,0,0,2021,1,7,3,1,0,0
Brno_1,1/8/2021,7215,0,0,0,0,2021,1,8,4,1,0,0
Brno_1,1/9/2021,6765,0,0,0,0,2021,1,9,5,1,0,0
Brno_1,1/10/2021,6326,0,0,0,0,2021,1,10,6,1,0,0
Brno_1,1/11/2021,6635,0,0,0,0,2021,1,11,0,2,0,0
Brno_1,1/12/2021,6503,0,0,0,0,2021,1,12,1,2,0,0
Brno_1,1/13/2021,6418,0,0,0,0,2021,1,13,2,2,0,0
Brno_1,1/14/2021,6544,0,0,0,0,2021,1,14,3,2,0,0
Brno_1,1/15/2021,6997,0,0,0,0,2021,1,15,4,2,0,0
Brno_1,1/16/2021,6811,0,0,0,0,2021,1,16,5,2,0,0
Brno_1,1/17/2021,6476,0,0,0,0,2021,1,17,6,2,0,0
Brno_1,1/18/2021,6680,0,0,0,0,2021,1,18,0,3,0,0
Brno_1,1/19/2021,6550,0,0,0,0,2021,1,19,1,3,0,0
Brno_1,1/20/2021,6224,0,0,0,0,2021,1,20,2,3,0,0
Brno_1,1/21/2021,6632,0,0,0,0,2021,1,21,3,3,0,0
Brno_1,1/22/2021,7155,0,0,0,0,2021,1,22,4,3,0,0
Brno_1,1/23/2021,6730,0,0,0,0,2021,1,23,5,3,0,0
Brno_1,1/24/2021,6158,0,0,0,0,2021,1,24,6,3,0,0
Brno_1,1/25/2021,6278,0,0,0,0,2021,1,25,0,4,0,0
Brno_1,1/26/2021,6184,0,0,0,0,2021,1,26,1,4,0,0
Brno_1,1/27/2021,6465,0,0,0,0,2021,1,27,2,4,0,0
Brno_1,1/28/2021,6670,0,0,0,0,2021,1,28,3,4,0,0
Brno_1,1/29/2021,7060,0,0,0,0,2021,1,29,4,4,0,0
Brno_1,1/30/2021,6752,0,0,0,0,2021,1,30,5,4,0,0
Brno_1,1/31/2021,5883,0,0,0,0,2021,1,31,6,4,0,0
Brno_1,2/1/2021,6388,0,0,0,0,2021,2,1,0,5,0,0
Brno_1,2/2/2021,6424,0,0,0,0,2021,2,2,1,5,0,0
Brno_1,2/3/2021,6290,0,0,0,0,2021,2,3,2,5,0,0
Brno_1,2/4/2021,6626,0,0,0,0,2021,2,4,3,5,0,0
Brno_1,2/5/2021,7221,0,0,0,0,2021,2,5,4,5,0,0
Brno_1,2/6/2021,6754,0,0,0,0,2021,2,6,5,5,0,0
Brno_1,2/7/2021,6356,0,0,0,0,2021,2,7,6,5,0,0
Brno_1,2/8/2021,6596,0,0,0,0,2021,2,8,0,6,0,0
Brno_1,2/9/2021,6863,0,0,0,0,2021,2,9,1,6,0,0
Brno_1,2/10/2021,6890,0,0,0,0,2021,2,10,2,6,0,0
Brno_1,2/11/2021,7108,0,0,0,0,2021,2,11,3,6,0,0
Brno_1,2/12/2021,7475,0,0,0,0,2021,2,12,4,6,0,0
Brno_1,2/13/2021,7094,0,0,0,0,2021,2,13,5,6,0,0
Brno_1,2/14/2021,6131,0,0,0,0,2021,2,14,6,6,0,0
Brno_1,2/15/2021,6415,0,0,0,0,2021,2,15,0,7,0,0
Brno_1,2/16/2021,6751,0,0,0,0,2021,2,16,1,7,0,0
Brno_1,2/17/2021,6749,0,0,0,0,2021,2,17,2,7,0,0
Brno_1,2/18/2021,6645,0,0,0,0,2021,2,18,3,7,0,0
Brno_1,2/19/2021,7067,0,0,0,0,2021,2,19,4,7,0,0
Brno_1,2/20/2021,7429,0,0,0,0,2021,2,20,5,7,0,0
Brno_1,2/21/2021,6363,0,0,0,0,2021,2,21,6,7,0,0
Brno_1,2/22/2021,6909,0,0,1,0,2021,2,22,0,8,0,0
Brno_1,2/23/2021,6643,0,0,1,0,2021,2,23,1,8,0,0
Brno_1,2/24/2021,6670,0,0,1,0,2021,2,24,2,8,0,0
Brno_1,2/25/2021,6981,0,0,1,0,2021,2,25,3,8,0,0
Brno_1,2/26/2021,7306,0,0,1,0,2021,2,26,4,8,0,0
Brno_1,2/27/2021,7401,0,0,1,0,2021,2,27,5,8,0,0
Brno_1,2/28/2021,6668,0,0,1,0,2021,2,28,6,8,0,0
Brno_1,3/1/2021,6297,0,0,0,0,2021,3,1,0,9,0,0
